bucket,male,female,total
2022-03-13T08:00:00.0,0,0,0
2022-05-03T05:00:00.0,0,0,0
2022-05-04T07:00:00.0,0,0,0
2022-05-05T18:00:00.0,0,0,0
2022-05-08T06:00:00.0,0,0,0
2022-05-13T08:00:00.0,0,0,0
2022-05-15T15:00:00.0,0,1,1
2022-02-25T05:00:00.0,0,0,0
2022-02-25T06:00:00.0,0,0,0
2022-02-25T07:00:00.0,0,0,0
2022-02-25T08:00:00.0,0,0,0
2022-02-25T09:00:00.0,0,0,0
2022-02-25T10:00:00.0,0,0,0
2022-02-25T11:00:00.0,0,0,0
2022-02-25T12:00:00.0,0,0,0
2022-02-25T13:00:00.0,0,0,0
2022-02-25T14:00:00.0,0,0,0
2022-02-25T15:00:00.0,0,0,0
2022-02-25T16:00:00.0,0,0,0
2022-02-25T17:00:00.0,0,0,0
2022-02-25T18:00:00.0,0,0,0
2022-02-26T05:00:00.0,0,0,0
2022-02-26T06:00:00.0,0,0,0
2022-02-26T07:00:00.0,0,0,0
2022-02-26T08:00:00.0,0,0,0
2022-02-26T09:00:00.0,0,0,0
2022-02-26T10:00:00.0,0,0,0
2022-02-26T11:00:00.0,0,0,0
2022-02-26T12:00:00.0,0,0,0
2022-02-26T13:00:00.0,0,0,0
2022-02-26T14:00:00.0,0,0,0
2022-02-26T15:00:00.0,0,0,0
2022-02-26T16:00:00.0,0,0,0
2022-02-26T17:00:00.0,0,0,0
2022-02-26T18:00:00.0,0,0,0
2022-02-27T05:00:00.0,0,0,0
2022-02-27T06:00:00.0,0,0,0
2022-02-27T07:00:00.0,0,0,0
2022-02-27T08:00:00.0,0,0,0
2022-02-27T09:00:00.0,0,0,0
2022-02-27T10:00:00.0,0,0,0
2022-02-27T11:00:00.0,0,0,0
2022-02-27T12:00:00.0,0,0,0
2022-02-27T13:00:00.0,0,0,0
2022-02-27T14:00:00.0,0,0,0
2022-02-27T15:00:00.0,0,0,0
2022-02-27T16:00:00.0,0,0,0
2022-02-27T17:00:00.0,0,0,0
2022-02-27T18:00:00.0,0,0,0
2022-02-28T05:00:00.0,0,0,0
2022-02-28T06:00:00.0,0,0,0
2022-02-28T07:00:00.0,0,0,0
2022-02-28T08:00:00.0,0,0,0
2022-02-28T09:00:00.0,0,0,0
2022-02-28T10:00:00.0,0,0,0
2022-02-28T11:00:00.0,0,0,0
2022-02-28T12:00:00.0,0,0,0
2022-02-28T13:00:00.0,0,0,0
2022-02-28T14:00:00.0,0,0,0
2022-02-28T15:00:00.0,0,0,0
2022-02-28T16:00:00.0,0,0,0
2022-02-28T17:00:00.0,0,0,0
2022-02-28T18:00:00.0,0,0,0
2022-03-01T05:00:00.0,0,0,0
2022-03-01T06:00:00.0,0,0,0
2022-03-01T07:00:00.0,0,0,0
2022-03-01T08:00:00.0,0,0,0
2022-03-01T09:00:00.0,0,0,0
2022-03-01T10:00:00.0,0,0,0
2022-03-01T11:00:00.0,0,0,0
2022-03-01T12:00:00.0,0,0,0
2022-03-01T13:00:00.0,0,0,0
2022-03-01T14:00:00.0,0,0,0
2022-03-01T15:00:00.0,0,0,0
2022-03-01T16:00:00.0,0,0,0
2022-03-01T17:00:00.0,0,0,0
2022-03-01T18:00:00.0,0,0,0
2022-03-02T05:00:00.0,0,0,0
2022-03-02T06:00:00.0,0,0,0
2022-03-02T07:00:00.0,0,0,0
2022-03-02T08:00:00.0,0,0,0
2022-03-02T09:00:00.0,0,0,0
2022-03-02T10:00:00.0,0,0,0
2022-03-02T11:00:00.0,0,0,0
2022-03-02T12:00:00.0,0,0,0
2022-03-02T13:00:00.0,0,0,0
2022-03-02T14:00:00.0,0,0,0
2022-03-02T15:00:00.0,0,0,0
2022-03-02T16:00:00.0,0,0,0
2022-03-02T17:00:00.0,0,0,0
2022-03-02T18:00:00.0,0,0,0
2022-03-03T05:00:00.0,0,0,0
2022-03-03T06:00:00.0,0,0,0
2022-03-03T07:00:00.0,0,0,0
2022-03-03T08:00:00.0,0,0,0
2022-03-03T09:00:00.0,0,0,0
2022-03-03T10:00:00.0,0,0,0
2022-03-03T11:00:00.0,0,0,0
2022-03-03T12:00:00.0,0,0,0
2022-03-03T13:00:00.0,0,0,0
2022-03-03T14:00:00.0,0,0,0
2022-03-03T15:00:00.0,0,0,0
2022-03-03T16:00:00.0,0,0,0
2022-03-03T17:00:00.0,0,0,0
2022-03-03T18:00:00.0,0,0,0
2022-03-04T05:00:00.0,0,0,0
2022-03-04T06:00:00.0,0,0,0
2022-03-04T07:00:00.0,0,0,0
2022-03-04T08:00:00.0,0,0,0
2022-03-04T09:00:00.0,0,0,0
2022-03-04T10:00:00.0,0,0,0
2022-03-04T11:00:00.0,0,0,0
2022-03-04T12:00:00.0,0,0,0
2022-03-04T13:00:00.0,0,0,0
2022-03-04T14:00:00.0,0,0,0
2022-03-04T15:00:00.0,0,0,0
2022-03-04T16:00:00.0,0,0,0
2022-03-04T17:00:00.0,0,0,0
2022-03-04T18:00:00.0,0,0,0
2022-03-05T05:00:00.0,0,0,0
2022-03-05T06:00:00.0,0,0,0
2022-03-05T07:00:00.0,0,0,0
2022-03-05T08:00:00.0,0,0,0
2022-03-05T09:00:00.0,0,0,0
2022-03-05T10:00:00.0,0,0,0
2022-03-05T11:00:00.0,0,0,0
2022-03-05T12:00:00.0,0,0,0
2022-03-05T13:00:00.0,0,0,0
2022-03-05T14:00:00.0,0,0,0
2022-03-05T15:00:00.0,0,0,0
2022-03-05T16:00:00.0,0,0,0
2022-03-05T17:00:00.0,0,0,0
2022-03-05T18:00:00.0,0,0,0
2022-03-06T05:00:00.0,0,0,0
2022-03-06T06:00:00.0,0,0,0
2022-03-06T07:00:00.0,0,0,0
2022-03-06T08:00:00.0,0,0,0
2022-03-06T09:00:00.0,0,0,0
2022-03-06T10:00:00.0,0,0,0
2022-03-06T11:00:00.0,0,0,0
2022-03-06T12:00:00.0,0,0,0
2022-03-06T13:00:00.0,0,0,0
2022-03-06T14:00:00.0,0,0,0
2022-03-06T15:00:00.0,0,0,0
2022-03-06T16:00:00.0,0,0,0
2022-03-06T17:00:00.0,0,0,0
2022-03-06T18:00:00.0,0,0,0
2022-03-07T05:00:00.0,0,0,0
2022-03-07T06:00:00.0,0,0,0
2022-03-07T07:00:00.0,0,0,0
2022-03-07T08:00:00.0,0,0,0
2022-03-07T09:00:00.0,0,0,0
2022-03-07T10:00:00.0,0,0,0
2022-03-07T11:00:00.0,0,0,0
2022-03-07T12:00:00.0,0,0,0
2022-03-07T13:00:00.0,0,0,0
2022-03-07T14:00:00.0,0,0,0
2022-03-07T15:00:00.0,0,0,0
2022-03-07T16:00:00.0,0,0,0
2022-03-07T17:00:00.0,0,0,0
2022-03-07T18:00:00.0,0,0,0
2022-03-08T05:00:00.0,0,0,0
2022-03-08T06:00:00.0,0,0,0
2022-03-08T07:00:00.0,0,0,0
2022-03-08T08:00:00.0,0,0,0
2022-03-08T09:00:00.0,0,0,0
2022-03-08T10:00:00.0,0,0,0
2022-03-08T11:00:00.0,0,0,0
2022-03-08T12:00:00.0,0,0,0
2022-03-08T13:00:00.0,0,0,0
2022-03-08T14:00:00.0,0,0,0
2022-03-08T15:00:00.0,0,0,0
2022-03-08T16:00:00.0,0,0,0
2022-03-08T17:00:00.0,0,0,0
2022-03-08T18:00:00.0,0,0,0
2022-03-09T05:00:00.0,0,0,0
2022-03-09T06:00:00.0,0,0,0
2022-03-09T07:00:00.0,0,0,0
2022-03-09T08:00:00.0,0,0,0
2022-03-09T09:00:00.0,0,0,0
2022-03-09T10:00:00.0,0,0,0
2022-03-09T11:00:00.0,0,0,0
2022-03-09T12:00:00.0,0,0,0
2022-03-09T13:00:00.0,0,0,0
2022-03-09T14:00:00.0,0,0,0
2022-03-09T15:00:00.0,0,0,0
2022-03-09T16:00:00.0,0,0,0
2022-03-09T17:00:00.0,0,0,0
2022-03-09T18:00:00.0,0,0,0
2022-03-10T05:00:00.0,0,0,0
2022-03-10T06:00:00.0,0,0,0
2022-03-10T07:00:00.0,0,0,0
2022-03-10T08:00:00.0,0,0,0
2022-03-10T09:00:00.0,0,0,0
2022-03-10T10:00:00.0,0,0,0
2022-03-10T11:00:00.0,0,0,0
2022-03-10T12:00:00.0,0,0,0
2022-03-10T13:00:00.0,0,0,0
2022-03-10T14:00:00.0,0,0,0
2022-03-10T15:00:00.0,0,0,0
2022-03-10T16:00:00.0,0,0,0
2022-03-10T17:00:00.0,0,0,0
2022-03-10T18:00:00.0,0,0,0
2022-03-11T05:00:00.0,0,0,0
2022-03-11T06:00:00.0,0,0,0
2022-03-11T07:00:00.0,0,0,0
2022-03-11T08:00:00.0,0,0,0
2022-03-11T09:00:00.0,0,0,0
2022-03-11T10:00:00.0,0,0,0
2022-03-11T11:00:00.0,0,0,0
2022-03-11T12:00:00.0,0,0,0
2022-03-11T13:00:00.0,0,0,0
2022-03-11T14:00:00.0,0,0,0
2022-03-11T15:00:00.0,0,0,0
2022-03-11T16:00:00.0,0,0,0
2022-03-11T17:00:00.0,0,0,0
2022-03-11T18:00:00.0,0,0,0
2022-03-12T05:00:00.0,0,0,0
2022-03-12T06:00:00.0,0,0,0
2022-03-12T07:00:00.0,0,0,0
2022-03-12T08:00:00.0,0,0,0
2022-03-12T09:00:00.0,0,0,0
2022-03-12T10:00:00.0,0,0,0
2022-03-12T11:00:00.0,0,0,0
2022-03-12T12:00:00.0,0,0,0
2022-03-12T13:00:00.0,0,0,0
2022-03-12T14:00:00.0,0,0,0
2022-03-12T15:00:00.0,0,0,0
2022-03-12T16:00:00.0,0,0,0
2022-03-12T17:00:00.0,0,0,0
2022-03-12T18:00:00.0,0,0,0
2022-03-13T05:00:00.0,0,0,0
2022-03-13T06:00:00.0,0,0,0
2022-03-13T07:00:00.0,0,0,0
2022-03-13T09:00:00.0,0,0,0
2022-03-13T10:00:00.0,0,0,0
2022-03-13T11:00:00.0,0,0,0
2022-03-13T12:00:00.0,0,0,0
2022-03-13T13:00:00.0,0,0,0
2022-03-13T14:00:00.0,0,0,0
2022-03-13T15:00:00.0,0,0,0
2022-03-13T16:00:00.0,0,0,0
2022-03-13T17:00:00.0,0,0,0
2022-03-13T18:00:00.0,0,0,0
2022-03-14T05:00:00.0,0,0,0
2022-03-14T06:00:00.0,0,0,0
2022-03-14T07:00:00.0,0,0,0
2022-03-14T08:00:00.0,0,0,0
2022-03-14T09:00:00.0,0,0,0
2022-03-14T10:00:00.0,0,0,0
2022-03-14T11:00:00.0,0,0,0
2022-03-14T12:00:00.0,0,0,0
2022-03-14T13:00:00.0,0,0,0
2022-03-14T14:00:00.0,0,0,0
2022-03-14T15:00:00.0,0,0,0
2022-03-14T16:00:00.0,0,0,0
2022-03-14T17:00:00.0,0,0,0
2022-03-14T18:00:00.0,0,0,0
2022-03-15T05:00:00.0,0,0,0
2022-03-15T06:00:00.0,0,0,0
2022-03-15T07:00:00.0,0,0,0
2022-03-15T08:00:00.0,0,0,0
2022-03-15T09:00:00.0,0,0,0
2022-03-15T10:00:00.0,0,0,0
2022-03-15T11:00:00.0,0,0,0
2022-03-15T12:00:00.0,0,0,0
2022-03-15T13:00:00.0,0,0,0
2022-03-15T14:00:00.0,0,0,0
2022-03-15T15:00:00.0,0,0,0
2022-03-15T16:00:00.0,0,0,0
2022-03-15T17:00:00.0,0,0,0
2022-03-15T18:00:00.0,0,0,0
2022-03-16T05:00:00.0,0,0,0
2022-03-16T06:00:00.0,0,0,0
2022-03-16T07:00:00.0,0,0,0
2022-03-16T08:00:00.0,0,0,0
2022-03-16T09:00:00.0,0,0,0
2022-03-16T10:00:00.0,0,0,0
2022-03-16T11:00:00.0,0,0,0
2022-03-16T12:00:00.0,0,0,0
2022-03-16T13:00:00.0,0,0,0
2022-03-16T14:00:00.0,0,0,0
2022-03-16T15:00:00.0,0,0,0
2022-03-16T16:00:00.0,0,0,0
2022-03-16T17:00:00.0,0,0,0
2022-03-16T18:00:00.0,0,0,0
2022-03-17T05:00:00.0,0,0,0
2022-03-17T06:00:00.0,0,0,0
2022-03-17T07:00:00.0,0,0,0
2022-03-17T08:00:00.0,0,0,0
2022-03-17T09:00:00.0,0,0,0
2022-03-17T10:00:00.0,0,0,0
2022-03-17T11:00:00.0,0,0,0
2022-03-17T12:00:00.0,0,0,0
2022-03-17T13:00:00.0,0,0,0
2022-03-17T14:00:00.0,0,0,0
2022-03-17T15:00:00.0,0,0,0
2022-03-17T16:00:00.0,0,0,0
2022-03-17T17:00:00.0,0,0,0
2022-03-17T18:00:00.0,0,0,0
2022-03-18T05:00:00.0,0,0,0
2022-03-18T06:00:00.0,0,0,0
2022-03-18T07:00:00.0,0,0,0
2022-03-18T08:00:00.0,0,0,0
2022-03-18T09:00:00.0,0,0,0
2022-04-27T05:00:00.0,0,0,0
2022-04-27T06:00:00.0,0,0,0
2022-04-27T07:00:00.0,0,0,0
2022-04-27T08:00:00.0,0,0,0
2022-04-27T09:00:00.0,0,0,0
2022-04-27T10:00:00.0,0,0,0
2022-04-27T11:00:00.0,0,0,0
2022-04-27T12:00:00.0,0,0,0
2022-04-27T13:00:00.0,0,0,0
2022-04-27T14:00:00.0,0,0,0
2022-04-27T15:00:00.0,0,0,0
2022-04-27T16:00:00.0,0,0,0
2022-04-27T17:00:00.0,0,0,0
2022-04-27T18:00:00.0,0,0,0
2022-04-28T05:00:00.0,0,0,0
2022-04-28T06:00:00.0,0,0,0
2022-04-28T07:00:00.0,0,0,0
2022-04-28T08:00:00.0,0,0,0
2022-04-28T09:00:00.0,0,0,0
2022-04-28T10:00:00.0,0,0,0
2022-04-28T11:00:00.0,0,0,0
2022-04-28T12:00:00.0,0,0,0
2022-04-28T13:00:00.0,0,0,0
2022-04-28T14:00:00.0,0,0,0
2022-04-28T15:00:00.0,0,0,0
2022-04-28T16:00:00.0,0,0,0
2022-04-28T17:00:00.0,0,0,0
2022-04-28T18:00:00.0,0,0,0
2022-04-29T05:00:00.0,0,0,0
2022-04-29T06:00:00.0,0,0,0
2022-04-29T07:00:00.0,0,0,0
2022-04-29T08:00:00.0,0,0,0
2022-04-29T09:00:00.0,0,0,0
2022-04-29T10:00:00.0,0,0,0
2022-04-29T11:00:00.0,0,0,0
2022-04-29T12:00:00.0,0,0,0
2022-04-29T13:00:00.0,0,0,0
2022-04-29T14:00:00.0,0,0,0
2022-04-29T15:00:00.0,0,0,0
2022-04-29T16:00:00.0,0,0,0
2022-04-29T17:00:00.0,0,0,0
2022-04-29T18:00:00.0,0,0,0
2022-04-30T05:00:00.0,0,0,0
2022-04-30T06:00:00.0,0,0,0
2022-04-30T07:00:00.0,0,0,0
2022-04-30T08:00:00.0,0,0,0
2022-04-30T09:00:00.0,0,0,0
2022-04-30T10:00:00.0,0,0,0
2022-04-30T11:00:00.0,0,0,0
2022-04-30T12:00:00.0,0,0,0
2022-04-30T13:00:00.0,0,0,0
2022-04-30T14:00:00.0,0,0,0
2022-04-30T15:00:00.0,0,0,0
2022-04-30T16:00:00.0,0,0,0
2022-04-30T17:00:00.0,0,0,0
2022-04-30T18:00:00.0,0,0,0
2022-05-01T05:00:00.0,0,0,0
2022-05-01T06:00:00.0,0,0,0
2022-05-01T07:00:00.0,0,0,0
2022-05-01T08:00:00.0,0,0,0
2022-05-01T09:00:00.0,0,0,0
2022-05-01T10:00:00.0,0,0,0
2022-05-01T11:00:00.0,0,0,0
2022-05-01T12:00:00.0,0,0,0
2022-05-01T13:00:00.0,0,0,0
2022-05-01T14:00:00.0,0,0,0
2022-05-01T15:00:00.0,0,0,0
2022-05-01T16:00:00.0,0,0,0
2022-05-01T17:00:00.0,0,0,0
2022-05-01T18:00:00.0,0,0,0
2022-05-02T05:00:00.0,0,0,0
2022-05-02T06:00:00.0,0,0,0
2022-05-02T07:00:00.0,0,0,0
2022-05-02T08:00:00.0,0,0,0
2022-05-02T09:00:00.0,0,0,0
2022-05-02T10:00:00.0,0,0,0
2022-05-02T11:00:00.0,0,0,0
2022-05-02T12:00:00.0,0,0,0
2022-05-02T13:00:00.0,0,0,0
2022-05-02T14:00:00.0,0,0,0
2022-05-02T15:00:00.0,0,0,0
2022-05-02T16:00:00.0,0,0,0
2022-05-02T17:00:00.0,0,0,0
2022-05-02T18:00:00.0,0,0,0
2022-05-03T06:00:00.0,0,0,0
2022-05-03T07:00:00.0,0,0,0
2022-05-03T08:00:00.0,0,0,0
2022-05-03T09:00:00.0,0,0,0
2022-05-03T10:00:00.0,0,0,0
2022-05-03T11:00:00.0,0,0,0
2022-05-03T12:00:00.0,0,0,0
2022-05-03T13:00:00.0,0,0,0
2022-05-03T14:00:00.0,0,0,0
2022-05-03T15:00:00.0,0,0,0
2022-05-03T16:00:00.0,0,0,0
2022-05-03T17:00:00.0,0,0,0
2022-05-03T18:00:00.0,0,0,0
2022-05-04T05:00:00.0,0,0,0
2022-05-04T06:00:00.0,0,0,0
2022-05-04T08:00:00.0,0,0,0
2022-05-04T09:00:00.0,0,0,0
2022-05-04T10:00:00.0,0,0,0
2022-05-04T11:00:00.0,0,0,0
2022-05-04T12:00:00.0,0,0,0
2022-05-04T13:00:00.0,0,0,0
2022-05-04T14:00:00.0,0,0,0
2022-05-04T15:00:00.0,0,0,0
2022-05-04T16:00:00.0,0,0,0
2022-05-04T17:00:00.0,0,0,0
2022-05-04T18:00:00.0,0,0,0
2022-05-05T05:00:00.0,0,0,0
2022-05-05T06:00:00.0,0,0,0
2022-05-05T07:00:00.0,0,0,0
2022-05-05T08:00:00.0,0,0,0
2022-05-05T09:00:00.0,0,0,0
2022-05-05T10:00:00.0,0,0,0
2022-05-05T11:00:00.0,0,0,0
2022-05-05T12:00:00.0,0,0,0
2022-05-05T13:00:00.0,0,0,0
2022-05-05T14:00:00.0,0,0,0
2022-05-05T15:00:00.0,0,0,0
2022-05-05T16:00:00.0,0,0,0
2022-05-05T17:00:00.0,0,0,0
2022-05-06T05:00:00.0,0,0,0
2022-05-06T06:00:00.0,0,0,0
2022-05-06T07:00:00.0,0,0,0
2022-05-06T08:00:00.0,0,0,0
2022-05-06T09:00:00.0,0,0,0
2022-05-06T10:00:00.0,0,0,0
2022-05-06T11:00:00.0,0,0,0
2022-05-06T12:00:00.0,0,0,0
2022-05-06T13:00:00.0,0,0,0
2022-05-06T14:00:00.0,0,0,0
2022-05-06T15:00:00.0,0,0,0
2022-05-06T16:00:00.0,0,0,0
2022-05-06T17:00:00.0,0,0,0
2022-05-06T18:00:00.0,0,0,0
2022-05-07T05:00:00.0,0,0,0
2022-05-07T06:00:00.0,0,0,0
2022-05-07T07:00:00.0,0,0,0
2022-05-07T08:00:00.0,0,0,0
2022-05-07T09:00:00.0,0,0,0
2022-05-07T10:00:00.0,0,0,0
2022-05-07T11:00:00.0,0,0,0
2022-05-07T12:00:00.0,0,0,0
2022-05-07T13:00:00.0,0,0,0
2022-05-07T14:00:00.0,0,0,0
2022-05-07T15:00:00.0,0,0,0
2022-05-07T16:00:00.0,0,0,0
2022-05-07T17:00:00.0,0,0,0
2022-05-07T18:00:00.0,0,0,0
2022-05-08T05:00:00.0,0,0,0
2022-05-08T07:00:00.0,0,0,0
2022-05-08T08:00:00.0,0,0,0
2022-05-08T09:00:00.0,0,0,0
2022-05-08T10:00:00.0,0,0,0
2022-05-08T11:00:00.0,0,0,0
2022-05-08T12:00:00.0,0,0,0
2022-05-08T13:00:00.0,0,0,0
2022-05-08T14:00:00.0,0,0,0
2022-05-08T15:00:00.0,0,0,0
2022-05-08T16:00:00.0,0,0,0
2022-05-08T17:00:00.0,0,0,0
2022-05-08T18:00:00.0,0,0,0
2022-05-09T05:00:00.0,0,0,0
2022-05-09T06:00:00.0,0,0,0
2022-05-09T07:00:00.0,0,0,0
2022-05-09T08:00:00.0,0,0,0
2022-05-09T09:00:00.0,0,0,0
2022-05-09T10:00:00.0,0,0,0
2022-05-09T11:00:00.0,0,0,0
2022-05-09T12:00:00.0,0,0,0
2022-05-09T13:00:00.0,0,0,0
2022-05-09T14:00:00.0,0,0,0
2022-05-09T15:00:00.0,0,0,0
2022-05-09T16:00:00.0,0,0,0
2022-05-09T17:00:00.0,0,0,0
2022-05-09T18:00:00.0,0,0,0
2022-05-10T05:00:00.0,0,0,0
2022-05-10T06:00:00.0,0,0,0
2022-05-10T07:00:00.0,0,0,0
2022-05-10T08:00:00.0,0,0,0
2022-05-10T09:00:00.0,0,0,0
2022-05-10T10:00:00.0,0,0,0
2022-05-10T11:00:00.0,0,0,0
2022-05-10T12:00:00.0,0,0,0
2022-05-10T13:00:00.0,0,0,0
2022-05-10T14:00:00.0,0,0,0
2022-05-10T15:00:00.0,0,0,0
2022-05-10T16:00:00.0,0,0,0
2022-05-10T17:00:00.0,0,0,0
2022-05-10T18:00:00.0,0,0,0
2022-05-11T05:00:00.0,0,0,0
2022-05-11T06:00:00.0,0,0,0
2022-05-11T07:00:00.0,0,0,0
2022-05-11T08:00:00.0,0,0,0
2022-05-11T09:00:00.0,0,0,0
2022-05-11T10:00:00.0,0,0,0
2022-05-11T11:00:00.0,0,0,0
2022-05-11T12:00:00.0,0,0,0
2022-05-11T13:00:00.0,0,0,0
2022-05-11T14:00:00.0,0,0,0
2022-05-11T15:00:00.0,0,0,0
2022-05-11T16:00:00.0,0,0,0
2022-05-11T17:00:00.0,0,0,0
2022-05-11T18:00:00.0,0,0,0
2022-05-12T05:00:00.0,0,0,0
2022-05-12T06:00:00.0,0,0,0
2022-05-12T07:00:00.0,0,0,0
2022-05-12T08:00:00.0,0,0,0
2022-05-12T09:00:00.0,0,0,0
2022-05-12T10:00:00.0,0,0,0
2022-05-12T11:00:00.0,0,0,0
2022-05-12T12:00:00.0,0,0,0
2022-05-12T13:00:00.0,0,0,0
2022-05-12T14:00:00.0,0,0,0
2022-05-12T15:00:00.0,0,0,0
2022-05-12T16:00:00.0,0,0,0
2022-05-12T17:00:00.0,0,0,0
2022-05-12T18:00:00.0,0,0,0
2022-05-13T05:00:00.0,0,0,0
2022-05-13T06:00:00.0,0,0,0
2022-05-13T07:00:00.0,0,0,0
2022-05-13T09:00:00.0,0,0,0
2022-05-13T10:00:00.0,0,0,0
2022-05-13T11:00:00.0,0,0,0
2022-05-13T12:00:00.0,0,0,0
2022-05-13T13:00:00.0,0,0,0
2022-05-13T14:00:00.0,0,0,0
2022-05-13T15:00:00.0,0,0,0
2022-05-13T16:00:00.0,0,0,0
2022-05-13T17:00:00.0,0,0,0
2022-05-13T18:00:00.0,0,0,0
2022-05-14T05:00:00.0,0,0,0
2022-05-14T06:00:00.0,0,0,0
2022-05-14T07:00:00.0,0,0,0
2022-05-14T08:00:00.0,0,0,0
2022-05-14T09:00:00.0,0,0,0
2022-05-14T10:00:00.0,0,0,0
2022-05-14T11:00:00.0,0,0,0
2022-05-14T12:00:00.0,0,0,0
2022-05-14T13:00:00.0,0,0,0
2022-05-14T14:00:00.0,0,0,0
2022-05-14T15:00:00.0,0,0,0
2022-05-14T16:00:00.0,0,0,0
2022-05-14T17:00:00.0,0,0,0
2022-05-14T18:00:00.0,0,0,0
2022-05-15T05:00:00.0,0,0,0
2022-05-15T06:00:00.0,0,0,0
2022-05-15T07:00:00.0,0,0,0
2022-05-15T08:00:00.0,0,0,0
2022-05-15T09:00:00.0,0,0,0
2022-05-15T10:00:00.0,0,0,0
2022-05-15T11:00:00.0,0,0,0
2022-05-15T12:00:00.0,0,0,0
2022-05-15T13:00:00.0,0,0,0
2022-05-15T14:00:00.0,0,0,0
2022-05-15T16:00:00.0,0,0,0
2022-05-15T17:00:00.0,0,0,0
2022-05-15T18:00:00.0,0,0,0
2022-05-16T05:00:00.0,0,0,0
2022-05-16T06:00:00.0,0,0,0
2022-05-16T07:00:00.0,0,0,0
2022-05-16T08:00:00.0,0,0,0
2022-05-16T09:00:00.0,0,0,0
2022-05-16T10:00:00.0,0,0,0
2022-05-16T11:00:00.0,0,0,0
2022-05-16T12:00:00.0,0,0,0
2022-05-16T13:00:00.0,0,0,0
2022-05-16T14:00:00.0,0,0,0
2022-05-16T15:00:00.0,0,0,0
2022-05-16T16:00:00.0,0,0,0
2022-05-16T17:00:00.0,0,0,0
2022-05-16T18:00:00.0,0,0,0
2022-05-17T05:00:00.0,0,0,0
2022-05-17T06:00:00.0,0,0,0
2022-05-17T07:00:00.0,0,0,0
2022-05-17T08:00:00.0,0,0,0
2022-05-17T09:00:00.0,0,0,0
2022-05-17T10:00:00.0,0,0,0
2022-05-17T11:00:00.0,0,0,0
2022-05-17T12:00:00.0,0,0,0
2022-05-17T13:00:00.0,0,0,0
2022-05-17T14:00:00.0,0,0,0
2022-05-17T15:00:00.0,0,0,0
2022-05-17T16:00:00.0,0,0,0
2022-05-17T17:00:00.0,0,0,0
2022-05-17T18:00:00.0,0,0,0
2022-05-18T05:00:00.0,0,0,0
2022-05-18T06:00:00.0,0,0,0
2022-05-18T07:00:00.0,0,0,0
2022-05-18T08:00:00.0,0,0,0
2022-05-18T09:00:00.0,0,0,0
2022-05-18T10:00:00.0,0,0,0
